carat,cut,color,clarity,depth,table,price,x,y,z,log_price,Label
1.1,Ideal,H,SI2,62.0,55.0,4733.0,6.61,6.65,4.11,3.6751365044679942,normal
1.29,Ideal,H,SI1,62.6,56.0,6424.0,6.96,6.93,4.35,3.8078055322706246,normal
1.2,Premium,I,SI1,61.1,58.0,5510.0,6.88,6.8,4.18,3.741151598851785,normal
1.5,Ideal,F,SI1,60.9,56.0,8770.0,7.43,7.36,4.5,3.9429995933660407,normal
0.9,Very Good,F,VS2,61.7,57.0,4493.0,6.17,6.21,3.82,3.6525364185930256,normal
0.32,Ideal,G,IF,61.7,54.0,918.0,4.39,4.42,2.72,2.9628426812012423,normal
0.3,Very Good,H,IF,62.9,58.0,789.0,4.26,4.29,2.69,2.89707700320942,normal
0.61,Ideal,E,VVS2,61.3,54.0,2823.0,5.51,5.59,3.4,3.4507108781469196,normal
2.01,Premium,G,SI2,61.2,57.2,18705.0,8.08,8.14,4.97,4.271957712534224,normal
0.31,Ideal,I,VS1,61.2,55.0,507.0,4.37,4.39,2.68,2.705007959333336,normal
0.64,Ideal,H,SI1,61.7,55.0,1880.0,5.54,5.57,3.43,3.2741578492636796,normal
0.41,Ideal,E,VS2,61.6,55.0,935.0,4.75,4.79,2.94,2.9708116108725178,normal
0.52,Ideal,F,VS1,62.0,57.0,1872.0,5.16,5.13,3.19,3.2723058444020863,normal
0.3,Premium,G,IF,61.0,62.0,956.0,4.34,4.32,2.64,2.9804578922761,normal
1.01,Good,H,SI2,64.1,56.0,3111.0,6.37,6.3,4.06,3.4929000111087034,normal
2.01,Premium,I,SI1,61.5,60.0,16499.0,8.12,8.01,4.96,4.21745762253858,normal
0.32,Ideal,G,IF,60.5,57.0,954.0,4.42,4.44,2.68,2.979548374704095,normal
1.51,Ideal,I,SI1,61.1,59.0,8342.0,7.4,7.37,4.51,3.9212701855098127,normal
2.5,Fair,G,I1,65.1,59.0,8711.0,8.55,8.39,5.53,3.9400680137393524,normal
0.7,Ideal,G,SI1,61.9,58.0,2567.0,5.66,5.69,3.51,3.4094258686714434,normal
0.34,Ideal,I,VS1,62.0,56.0,555.0,4.5,4.53,2.8,2.7442929831226763,normal
1.7,Ideal,G,VVS1,61.0,56.0,18445.0,7.67,7.62,4.66,4.265878659562822,normal
1.2,Ideal,F,VS2,62.3,55.0,8486.0,6.83,6.79,4.24,3.928703027430597,normal
0.35,Premium,E,VS2,62.1,59.0,984.0,4.49,4.46,2.78,2.9929950984313414,normal
0.36,Very Good,G,VVS2,59.5,56.0,858.0,4.68,4.73,2.8,2.9334872878487053,normal
0.56,Ideal,G,VVS2,61.6,55.0,2066.0,5.32,5.35,3.28,3.315130317183602,normal
0.27,Ideal,H,VS1,62.3,56.0,464.0,4.15,4.17,2.59,2.6665179805548807,normal
0.33,Ideal,G,IF,61.7,55.0,1052.0,4.47,4.45,2.75,3.02201573981772,normal
0.38,Very Good,D,SI1,59.7,60.0,733.0,4.66,4.69,2.79,2.8651039746411278,normal
0.5,Very Good,H,SI1,62.9,58.0,1068.0,5.01,5.04,3.16,3.0285712526925375,normal
1.21,Premium,H,VS2,60.8,62.0,5461.0,6.82,6.78,4.13,3.7372721765355434,normal
0.33,Premium,G,SI1,62.3,59.0,492.0,4.39,4.44,2.75,2.6919651027673606,normal
0.31,Ideal,D,VS1,61.6,54.0,696.0,4.33,4.37,2.68,2.842609239610562,normal
0.5,Premium,G,VVS2,61.6,60.0,1935.0,5.13,5.1,3.15,3.28668096935493,normal
0.52,Premium,E,VS1,61.7,58.0,1819.0,5.17,5.11,3.17,3.2598326990634834,normal
0.38,Ideal,E,VS1,62.2,54.1,1133.0,4.63,4.65,2.89,3.0542299098633974,normal
1.7,Premium,I,VS2,60.7,59.0,11519.0,7.63,7.7,4.65,4.061414778277073,normal
0.3,Premium,H,VS1,61.0,58.0,675.0,4.31,4.28,2.62,2.829303772831025,normal
0.24,Ideal,H,VS2,61.1,56.0,391.0,3.99,4.03,2.45,2.5921767573958667,normal
0.54,Ideal,D,SI1,60.8,57.0,1786.0,5.31,5.25,3.21,3.2518814545525276,normal
1.5,Premium,F,VVS2,58.8,58.0,17203.0,7.51,7.43,4.39,4.2356041893398375,normal
0.4,Ideal,J,VVS2,61.9,55.0,662.0,4.74,4.79,2.95,2.8208579894397,normal
0.61,Good,F,VS2,63.0,64.2,1971.0,5.29,5.32,3.34,3.2946866242794433,normal
1.0,Very Good,I,VS2,64.0,54.0,4739.0,6.28,6.34,4.04,3.675686708699401,normal
0.72,Ideal,F,VS1,60.5,56.0,3759.0,5.82,5.85,3.53,3.5750723257138124,normal
1.02,Fair,E,VS2,66.6,57.0,5350.0,6.09,6.14,4.07,3.7283537820212285,normal
0.41,Ideal,F,VVS1,60.3,56.0,1295.0,4.8,4.85,2.91,3.1122697684172707,normal
0.3,Ideal,D,VS1,62.0,54.0,848.0,4.34,4.3,2.68,2.9283958522567137,normal
0.28,Ideal,G,IF,61.3,57.0,650.0,4.25,4.27,2.6,2.8129133566428557,normal
0.31,Premium,G,VVS1,60.7,58.0,816.0,4.37,4.4,2.66,2.9116901587538613,normal
0.53,Ideal,F,VS2,61.3,55.0,1723.0,5.22,5.25,3.21,3.2362852774480286,normal
0.33,Ideal,E,VS2,61.0,57.0,928.0,4.46,4.43,2.71,2.967547976218862,normal
0.52,Very Good,H,VS2,63.5,58.0,1389.0,5.08,5.09,3.23,3.1427022457376155,normal
1.5,Good,I,VS1,63.3,58.0,8910.0,7.19,7.24,4.57,3.949877704036875,normal
1.0,Very Good,I,SI1,58.5,61.0,4649.0,6.51,6.55,3.82,3.667359546183087,normal
1.91,Premium,G,SI2,61.9,58.0,9038.0,7.9,7.84,4.87,3.956072336995183,normal
1.51,Ideal,I,SI1,61.2,60.0,8396.0,7.39,7.37,4.52,3.9240724299103626,normal
0.32,Premium,I,SI1,62.9,58.0,554.0,4.35,4.33,2.73,2.74350976472843,normal
1.0,Premium,G,VS1,62.9,60.0,6989.0,6.36,6.29,3.98,3.8444150404738244,normal
0.42,Premium,F,VVS2,60.3,59.0,1221.0,4.86,4.83,2.92,3.0867156639448825,normal
1.21,Very Good,I,SI1,62.8,57.0,5346.0,6.73,6.8,4.25,3.7280289544205183,normal
0.59,Very Good,G,SI1,59.3,58.0,1555.0,5.45,5.51,3.25,3.1917303933628562,normal
0.75,Fair,F,VS1,55.8,70.0,2859.0,6.09,5.98,3.37,3.456214155357989,normal
2.01,Premium,H,VS2,62.8,58.0,13342.0,7.99,7.9,4.99,4.125220936316564,normal
0.77,Premium,F,VS2,62.4,59.0,3018.0,5.85,5.81,3.64,3.479719235439571,normal
0.61,Ideal,G,VVS2,62.4,53.8,2331.0,5.42,5.45,3.39,3.3675422735205767,normal
1.35,Ideal,G,IF,62.2,57.0,14616.0,7.07,7.11,4.41,4.1648285343444815,normal
1.01,Ideal,E,VVS2,62.7,56.0,9735.0,6.42,6.46,4.04,3.9883359558560505,normal
0.3,Good,G,VS2,58.5,64.0,648.0,4.42,4.37,2.57,2.8115750058705933,normal
1.0,Very Good,D,SI1,60.1,60.0,4697.0,6.47,6.55,3.91,3.671820560183249,normal
0.5,Fair,E,SI2,68.6,56.0,871.0,4.87,4.75,3.3,2.9400181550076634,normal
0.42,Ideal,G,VVS2,62.1,57.0,1103.0,4.8,4.77,2.97,3.0425755124401905,normal
0.77,Ideal,H,SI1,62.2,56.0,2781.0,5.83,5.88,3.64,3.4442009888641594,normal
2.3,Premium,I,SI2,61.3,58.0,11051.0,8.53,8.46,5.21,4.043401578910881,normal
0.53,Very Good,G,VS1,60.9,56.0,1636.0,5.24,5.27,3.2,3.2137832993353044,normal
1.22,Ideal,G,VS1,62.5,57.0,8608.0,6.82,6.77,4.25,3.934902258322314,normal
0.37,Ideal,I,VS1,60.8,56.0,603.0,4.67,4.71,2.85,2.780317312140151,normal
1.82,Premium,I,VS1,61.4,60.0,13939.0,7.83,7.8,4.8,4.144231618090547,normal
0.74,Very Good,E,VS2,61.8,58.0,3180.0,5.79,5.82,3.59,3.5024271199844326,normal
0.64,Very Good,I,SI1,63.0,57.0,1390.0,5.47,5.52,3.46,3.143014800254095,normal
0.32,Ideal,F,VVS1,60.3,57.0,912.0,4.42,4.44,2.67,2.959994838328416,normal
0.3,Premium,J,VS2,60.6,59.0,473.0,4.38,4.34,2.64,2.6748611407378116,normal
0.67,Premium,G,VS2,61.0,57.0,2050.0,5.68,5.63,3.45,3.311753861055754,normal
0.43,Ideal,D,SI1,61.5,56.0,830.0,4.82,4.87,2.98,2.9190780923760737,normal
1.01,Very Good,F,VS1,62.8,58.0,6999.0,6.32,6.39,3.99,3.845035993513415,normal
1.54,Very Good,J,SI1,61.2,59.0,7453.0,7.41,7.45,4.55,3.8723311212302507,normal
1.01,Very Good,E,VS2,63.3,58.0,6516.0,6.38,6.35,4.03,3.813981075636472,normal
1.2,Premium,G,VS1,62.5,59.0,8056.0,6.72,6.64,4.19,3.906119457545562,normal
